ApplicationID,StudentID,InternshipID,Status,AppliedDate
1,30,87,Pending,2026-05-01
2,98,87,Rejected,2026-04-28
3,74,6,Accepted,2026-05-13
4,61,67,Ineligible,2026-04-29
5,36,24,Ineligible,2026-04-22
6,82,63,Pending,2026-04-18
7,61,45,Ineligible,2026-04-18
8,43,42,Pending,2026-05-02
9,21,43,Ineligible,2026-04-27
10,89,64,Rejected,2026-05-06
11,85,52,Pending,2026-05-07
12,59,12,Rejected,2026-05-14
13,33,42,Pending,2026-04-18
14,99,52,Pending,2026-04-23
15,85,70,Ineligible,2026-04-26
16,53,7,Accepted,2026-04-21
17,67,47,Ineligible,2026-04-30
18,81,57,Pending,2026-04-26
19,27,35,Accepted,2026-05-08
20,37,57,Ineligible,2026-04-27
21,16,4,Accepted,2026-05-06
22,91,21,Rejected,2026-05-01
23,71,2,Ineligible,2026-04-24
24,12,29,Pending,2026-04-23
25,60,16,Accepted,2026-04-21
26,64,92,Rejected,2026-04-27
27,66,91,Rejected,2026-04-24
28,54,62,Ineligible,2026-04-27
29,32,59,Accepted,2026-04-25
30,50,25,Accepted,2026-05-08
31,9,36,Ineligible,2026-05-12
32,44,65,Rejected,2026-04-17
33,1,37,Rejected,2026-05-14
34,76,75,Ineligible,2026-04-24
35,20,58,Ineligible,2026-04-25
36,45,43,Ineligible,2026-05-10
37,59,42,Accepted,2026-05-03
38,90,31,Ineligible,2026-05-12
39,30,100,Ineligible,2026-04-24
40,6,41,Ineligible,2026-04-24
41,91,49,Ineligible,2026-04-26
42,85,84,Accepted,2026-05-15
43,64,5,Accepted,2026-05-05
44,65,76,Rejected,2026-04-22
45,13,57,Pending,2026-05-11
46,68,59,Pending,2026-05-14
47,93,19,Ineligible,2026-05-03
48,84,20,Pending,2026-04-29
49,61,34,Rejected,2026-05-05
50,80,89,Ineligible,2026-04-28
51,84,11,Rejected,2026-05-01
52,87,69,Ineligible,2026-05-07
53,41,81,Ineligible,2026-04-18
54,70,5,Pending,2026-04-26
55,31,81,Rejected,2026-04-27
56,30,96,Pending,2026-05-15
57,56,13,Pending,2026-04-21
58,57,22,Rejected,2026-04-24
59,4,6,Rejected,2026-05-08
60,8,38,Rejected,2026-04-25
61,48,56,Accepted,2026-04-20
62,32,68,Ineligible,2026-04-19
63,73,88,Accepted,2026-05-05
64,22,23,Pending,2026-05-14
65,79,49,Accepted,2026-04-19
66,64,75,Accepted,2026-05-14
67,30,60,Rejected,2026-04-24
68,59,33,Pending,2026-05-05
69,60,37,Accepted,2026-04-27
70,10,57,Rejected,2026-04-16
71,76,39,Ineligible,2026-04-23
72,89,33,Ineligible,2026-04-22
73,39,26,Ineligible,2026-05-07
74,62,14,Accepted,2026-05-14
75,49,74,Rejected,2026-04-21
76,74,38,Rejected,2026-05-14
77,3,85,Ineligible,2026-04-27
78,36,2,Pending,2026-04-17
79,78,96,Ineligible,2026-04-23
80,37,100,Accepted,2026-05-14
81,78,46,Accepted,2026-04-19
82,82,25,Rejected,2026-04-17
83,87,97,Accepted,2026-04-29
84,81,13,Pending,2026-05-05
85,40,57,Pending,2026-04-19
86,75,47,Accepted,2026-04-20
87,12,38,Rejected,2026-04-27
88,96,54,Accepted,2026-05-05
89,26,17,Rejected,2026-05-12
90,68,65,Rejected,2026-05-03
91,22,33,Ineligible,2026-04-22
92,38,96,Rejected,2026-05-13
93,15,60,Pending,2026-04-25
94,19,97,Accepted,2026-04-21
95,87,93,Ineligible,2026-05-10
96,72,47,Pending,2026-05-01
97,51,2,Rejected,2026-04-30
98,69,16,Ineligible,2026-05-11
99,48,87,Rejected,2026-04-16
100,75,49,Rejected,2026-04-22
