CriteriaID,InternshipID,MinCGPA,MinSemester,ExperienceLevel
1,1,2.27,6,Beginner
2,2,3.13,6,Intermediate
3,3,3.39,5,Intermediate
4,4,2.47,6,None
5,5,2.7,5,Beginner
6,6,2.89,5,Intermediate
7,7,2.11,6,Beginner
8,8,2.06,5,Beginner
9,9,2.12,3,Intermediate
10,10,2.89,6,Beginner
11,11,2.87,3,Beginner
12,12,3.36,4,Beginner
13,13,2.91,4,None
14,14,2.68,5,Intermediate
15,15,2.13,4,None
16,16,2.37,6,Beginner
17,17,2.79,4,Beginner
18,18,2.56,5,Beginner
19,19,2.61,5,Intermediate
20,20,2.9,5,None
21,21,2.49,6,Beginner
22,22,2.38,4,Beginner
23,23,2.12,4,Beginner
24,24,2.47,6,None
25,25,2.89,3,Beginner
26,26,2.84,5,None
27,27,3.01,3,Intermediate
28,28,3.01,5,None
29,29,2.54,4,None
30,30,2.51,6,None
31,31,2.34,4,None
32,32,2.12,3,Intermediate
33,33,3.16,3,Intermediate
34,34,2.51,4,Intermediate
35,35,2.57,4,None
36,36,3.25,4,Intermediate
37,37,2.66,6,Beginner
38,38,3.01,4,Beginner
39,39,2.92,6,None
40,40,2.8,5,Beginner
41,41,3.36,4,Beginner
42,42,3.02,6,Beginner
43,43,3.15,6,Intermediate
44,44,2.79,4,None
45,45,3.2,4,Beginner
46,46,2.08,6,Beginner
47,47,2.83,3,Intermediate
48,48,3.27,3,Beginner
49,49,2.13,4,Beginner
50,50,2.67,4,Beginner
51,51,2.14,4,Beginner
52,52,3.33,3,Beginner
53,53,2.08,5,None
54,54,2.58,3,Beginner
55,55,2.34,5,None
56,56,3.26,5,None
57,57,2.21,5,Beginner
58,58,3.04,4,Intermediate
59,59,2.7,3,None
60,60,2.03,4,None
61,61,2.82,6,None
62,62,3.16,4,Beginner
63,63,2.18,4,Beginner
64,64,2.96,6,None
65,65,2.17,6,Intermediate
66,66,2.8,4,Intermediate
67,67,2.22,6,None
68,68,2.92,4,Intermediate
69,69,2.62,3,Intermediate
70,70,3.46,3,Intermediate
71,71,2.82,3,Beginner
72,72,3.31,3,Intermediate
73,73,2.58,5,Beginner
74,74,3.12,5,None
75,75,2.52,3,Intermediate
76,76,3.1,5,None
77,77,2.07,5,Intermediate
78,78,2.26,6,Intermediate
79,79,2.72,4,None
80,80,2.09,6,None
81,81,2.44,3,None
82,82,3.33,5,Beginner
83,83,2.77,6,Beginner
84,84,2.05,4,Beginner
85,85,2.54,3,Intermediate
86,86,2.5,3,Beginner
87,87,2.66,6,Intermediate
88,88,2.66,6,Beginner
89,89,3.46,6,Intermediate
90,90,2.75,5,None
91,91,3.09,3,Beginner
92,92,2.9,4,Intermediate
93,93,2.44,3,None
94,94,2.49,5,Beginner
95,95,2.67,6,None
96,96,3.03,5,Beginner
97,97,2.06,5,Intermediate
98,98,3.5,5,Intermediate
99,99,3.47,3,None
100,100,3.01,6,Beginner
