EligDeptID,InternshipID,DepartmentID
1,1,2
2,1,1
3,1,4
4,2,4
5,2,1
6,2,5
7,3,2
8,4,3
9,4,5
10,4,2
11,5,1
12,5,2
13,5,3
14,6,3
15,6,5
16,7,1
17,7,2
18,8,3
19,8,4
20,8,2
21,9,3
22,9,2
23,9,1
24,10,2
25,11,5
26,11,4
27,12,1
28,12,3
29,12,2
30,13,4
31,13,2
32,13,3
33,14,4
34,14,2
35,15,2
36,16,4
37,17,4
38,18,3
39,19,3
40,19,1
41,19,5
42,20,3
43,20,5
44,20,1
45,21,2
46,21,3
47,21,4
48,22,1
49,23,2
50,24,4
51,25,3
52,26,5
53,26,3
54,26,2
55,27,2
56,27,1
57,27,4
58,28,4
59,28,5
60,29,4
61,29,5
62,29,3
63,30,2
64,31,1
65,31,4
66,32,5
67,32,3
68,33,5
69,34,5
70,34,2
71,34,1
72,35,5
73,35,1
74,36,5
75,37,3
76,38,2
77,39,2
78,39,3
79,40,3
80,40,1
81,40,2
82,41,5
83,42,2
84,42,3
85,43,5
86,43,1
87,43,3
88,44,2
89,44,5
90,44,1
91,45,5
92,45,3
93,45,4
94,46,1
95,47,1
96,48,5
97,48,3
98,48,4
99,49,5
100,50,5
101,50,1
102,51,5
103,51,3
104,52,3
105,52,4
106,52,1
107,53,4
108,53,3
109,53,2
110,54,1
111,55,4
112,56,4
113,56,5
114,57,3
115,58,2
116,58,3
117,58,4
118,59,3
119,59,4
120,60,3
121,61,5
122,61,1
123,61,2
124,62,4
125,63,3
126,64,2
127,64,5
128,65,1
129,66,4
130,66,5
131,67,2
132,68,5
133,68,3
134,69,2
135,70,5
136,70,4
137,71,3
138,71,4
139,72,1
140,73,5
141,73,4
142,74,2
143,75,3
144,75,1
145,75,4
146,76,4
147,76,5
148,77,5
149,77,1
150,78,4
151,79,3
152,80,3
153,80,4
154,80,2
155,81,4
156,82,5
157,83,2
158,83,3
159,83,4
160,84,1
161,84,4
162,85,4
163,85,3
164,85,5
165,86,5
166,86,1
167,86,4
168,87,4
169,88,3
170,88,5
171,89,2
172,90,5
173,90,4
174,90,3
175,91,1
176,92,2
177,93,3
178,93,4
179,93,5
180,94,2
181,94,5
182,95,5
183,95,3
184,96,4
185,97,3
186,97,5
187,97,4
188,98,5
189,98,4
190,98,3
191,99,3
192,99,4
193,99,1
194,100,3
195,100,1
