InternshipID,SkillID
1,19
1,10
1,1
2,16
2,9
2,8
2,2
3,16
3,6
3,17
3,13
4,8
4,2
5,4
5,7
5,1
5,15
6,14
6,5
6,20
7,7
7,14
7,17
7,16
8,2
8,5
8,17
8,7
9,11
9,16
9,17
9,13
10,6
10,15
10,18
11,18
11,12
11,9
12,16
12,7
12,8
12,9
13,10
13,8
13,20
13,18
14,7
14,16
14,11
14,19
15,18
15,9
15,10
16,19
16,18
17,13
17,12
17,5
18,2
18,10
18,3
19,15
19,9
19,16
20,7
20,18
21,18
21,9
21,5
22,20
22,19
23,8
23,2
24,17
24,8
24,19
24,2
25,14
25,11
26,16
26,4
26,5
26,1
27,6
27,14
27,16
27,18
28,7
28,10
28,11
28,19
29,2
29,3
29,8
29,20
30,14
30,6
31,13
31,16
32,10
32,2
33,10
33,19
34,4
34,11
34,10
34,15
35,18
35,17
35,16
35,5
36,15
36,9
36,7
36,4
37,6
37,15
37,9
38,6
38,1
38,11
38,10
39,7
39,6
39,13
39,14
40,11
40,3
40,13
40,4
41,5
41,16
42,8
42,1
42,9
43,8
43,15
43,9
44,10
44,19
44,1
45,12
45,8
45,2
46,4
46,15
46,10
46,6
47,17
47,10
47,4
48,10
48,12
48,8
48,18
49,16
49,5
50,20
50,12
50,14
51,18
51,16
51,20
51,7
52,20
52,3
53,15
53,17
53,12
53,3
54,4
54,2
54,18
54,17
55,19
55,18
56,6
56,11
57,15
57,4
57,7
57,16
58,17
58,15
59,15
59,5
60,14
60,15
60,2
60,19
61,10
61,1
61,13
61,9
62,7
62,19
63,2
63,14
64,3
64,18
64,2
65,16
65,2
66,14
66,6
66,5
67,14
67,12
67,13
67,15
68,13
68,3
68,18
69,12
69,4
70,18
70,13
71,5
71,8
71,1
71,18
72,15
72,18
72,14
73,13
73,8
73,19
73,15
74,5
74,9
74,7
75,4
75,2
75,14
75,1
76,7
76,3
77,20
77,2
78,20
78,2
78,8
79,2
79,13
79,15
79,8
80,7
80,2
80,5
80,17
81,8
81,19
81,11
82,20
82,11
82,8
82,10
83,17
83,8
84,10
84,9
84,2
85,19
85,6
85,14
85,16
86,12
86,13
87,11
87,14
87,19
87,5
88,13
88,6
88,18
89,8
89,20
89,10
90,5
90,15
90,2
90,14
91,18
91,17
91,5
92,8
92,9
92,7
93,3
93,15
93,12
94,18
94,7
95,9
95,13
96,20
96,2
96,3
96,7
97,18
97,7
97,16
97,19
98,10
98,1
98,7
99,4
99,16
100,20
100,7
